=== WYNIKI TRENINGU ===


=== REP 0 ===
avg_pos_score 0.9432613849639893, avg_neg_score 0.04492771252989769
avg_pos_score 0.9569132328033447, avg_neg_score 0.05682305246591568
avg_pos_score 0.9619620442390442, avg_neg_score 0.06115943565964699
avg_pos_score 0.9474197030067444, avg_neg_score 0.04947496950626373
avg_pos_score 0.9373248815536499, avg_neg_score 0.04272471368312836
avg_pos_score 0.9555469751358032, avg_neg_score 0.04683997854590416
avg_pos_score 0.9613314270973206, avg_neg_score 0.049037229269742966
Fold 1 FINAL: Loss=0.0852, TP=56, TN=123937, FP=1758, FN=73
Metrics: Acc=0.9854, Rec=0.4341, Prec=0.0309, F1=0.0576

=== REP 1 ===
avg_pos_score 0.5676862597465515, avg_neg_score 0.5046032071113586
avg_pos_score 0.13154418766498566, avg_neg_score 0.036292120814323425
avg_pos_score 0.8252416849136353, avg_neg_score 0.5591940879821777
avg_pos_score 0.8577812910079956, avg_neg_score 0.44970718026161194
avg_pos_score 0.45035138726234436, avg_neg_score 0.09549954533576965
avg_pos_score 0.4871291220188141, avg_neg_score 0.11081775277853012
avg_pos_score 0.7212644815444946, avg_neg_score 0.2819683849811554
avg_pos_score 0.8187737464904785, avg_neg_score 0.39868468046188354
avg_pos_score 0.6824145913124084, avg_neg_score 0.28096508979797363
avg_pos_score 0.6251559257507324, avg_neg_score 0.23504741489887238
avg_pos_score 0.6929558515548706, avg_neg_score 0.2631934881210327
avg_pos_score 0.7848690152168274, avg_neg_score 0.30441346764564514
avg_pos_score 0.7727524042129517, avg_neg_score 0.2554306387901306
avg_pos_score 0.7464576363563538, avg_neg_score 0.20534375309944153
avg_pos_score 0.7812512516975403, avg_neg_score 0.21392084658145905
avg_pos_score 0.816307544708252, avg_neg_score 0.23151059448719025
avg_pos_score 0.7936199307441711, avg_neg_score 0.20194247364997864
avg_pos_score 0.7569270730018616, avg_neg_score 0.17420189082622528
avg_pos_score 0.8035217523574829, avg_neg_score 0.20176216959953308
avg_pos_score 0.8324652314186096, avg_neg_score 0.2112187147140503
avg_pos_score 0.8031330704689026, avg_neg_score 0.17117926478385925
avg_pos_score 0.8245735764503479, avg_neg_score 0.17058883607387543
avg_pos_score 0.8574690222740173, avg_neg_score 0.18540754914283752
avg_pos_score 0.8269675374031067, avg_neg_score 0.15236082673072815
avg_pos_score 0.8230575323104858, avg_neg_score 0.1453281044960022
avg_pos_score 0.8653039932250977, avg_neg_score 0.17503206431865692
avg_pos_score 0.8275869488716125, avg_neg_score 0.14117570221424103
avg_pos_score 0.8493586182594299, avg_neg_score 0.1523159295320511
avg_pos_score 0.8663818836212158, avg_neg_score 0.16031940281391144
avg_pos_score 0.8263373374938965, avg_neg_score 0.12881064414978027
avg_pos_score 0.8999682664871216, avg_neg_score 0.17826777696609497
avg_pos_score 0.817819356918335, avg_neg_score 0.1112053170800209
avg_pos_score 0.8964579105377197, avg_neg_score 0.1593082696199417
avg_pos_score 0.8487085700035095, avg_neg_score 0.11818389594554901
